mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.5654884338378907,0.02144240658046872,1.6436387062072755,0.02132266054587262,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.6198910522509689,0.6191614846202225,0.6354683542264562,0.6226605391029264,0.6152876914312523,0.6224938243263652,0.006901789356981364,13,0.6239396038619153,0.626629946335331,0.6221429557000361,0.6241688493352473,0.6286032550869387,0.6250969220638937,0.0022614666203329948
3.6530293941497805,0.028960646944811805,1.6856823444366456,0.038479788189034185,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.625263523415137,0.6261170430906761,0.6368368164275832,0.6269528605644877,0.6066016973397869,0.6243543881675342,0.009814831480642884,10,0.6279891562233766,0.6275020175712593,0.6240149308968996,0.6282852701259801,0.6338657662960561,0.6283314282227144,0.003164435172158757
3.513499927520752,0.06770424161987046,1.5932880878448485,0.010830247870410405,0.01,0.05,rbf,"{'C': 0.01, 'gamma': 0.05, 'kernel': 'rbf'}",0.6154612831502376,0.61657146289163,0.634501471802988,0.6207958222392639,0.6148842138080862,0.6204428507784412,0.007327639717353683,16,0.6242486768684338,0.623945976542535,0.6215595257562125,0.6241500649898261,0.6279859756328858,0.6243780439579786,0.002059932442084
3.5736021995544434,0.03303747508898873,1.68330078125,0.021048000451428718,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.6013833319058515,0.6107345336540151,0.615040341368909,0.6012433629499186,0.6018379762016062,0.60604790921606,0.005751413164407905,25,0.6081468197405676,0.6071789364109852,0.6046916901872303,0.6078652564514462,0.6096802110255479,0.6075125827631555,0.001630582863339242
3.785719633102417,0.03196302271332289,1.765920639038086,0.021106701898627418,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
3.4091012477874756,0.024637386680088403,1.462816095352173,0.022931818664541383,0.05,scale,rbf,"{'C': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.619450582644558,0.6185784695370041,0.6403072543986221,0.6280565594204354,0.6169408912729524,0.6246667514547144,0.008718722838771216,7,0.6387668687797995,0.6359181124587263,0.6346453397907321,0.6333989121572815,0.6422595202207502,0.6369977506814579,0.003177014068095644
3.4247627735137938,0.03933841285840351,1.4990045547485351,0.0363784515525956,0.05,0.1,rbf,"{'C': 0.05, 'gamma': 0.1, 'kernel': 'rbf'}",0.6276573290782298,0.6193661411052716,0.6439929650896381,0.6315386865555082,0.6245883389798702,0.6294286921617036,0.008299298791138113,1,0.6418856077009873,0.6444256414007868,0.6417289017220137,0.6391458642361523,0.646942768848225,0.6428257567816331,0.0026509620749080916
3.37885160446167,0.04629113437988215,1.4541106224060059,0.022087303247235707,0.05,0.05,rbf,"{'C': 0.05, 'gamma': 0.05, 'kernel': 'rbf'}",0.617683465959328,0.6162477537962093,0.6385396518375241,0.6297985853514348,0.6167582979446415,0.6238055509778275,0.008913744304981078,11,0.6364274149047398,0.6329921204941991,0.633977153729689,0.6325197848605746,0.6393211532829464,0.6350475254544298,0.002526968436733516
3.4075882911682127,0.029491368941597058,1.517473316192627,0.012425469924433732,0.05,0.01,rbf,"{'C': 0.05, 'gamma': 0.01, 'kernel': 'rbf'}",0.6121937407479463,0.6156674215740656,0.6171846347443877,0.6237620929346608,0.6045928090499558,0.6146801398102032,0.006287535524748638,21,0.6193964898902757,0.6197099875251054,0.6150093862723365,0.6169864730770578,0.6196139210601443,0.618143251564984,0.0018626532031112187
3.6451066970825194,0.053566933068646926,1.7165802478790284,0.0396533776371876,0.05,0.001,rbf,"{'C': 0.05, 'gamma': 0.001, 'kernel': 'rbf'}",0.5772747026984315,0.5934154182456338,0.5909054325955734,0.5838619915278364,0.5868894647996854,0.5864694019734321,0.0056470000265940205,31,0.5902829905515403,0.588244205325896,0.5869220289101253,0.5867515373637242,0.5955339269116428,0.5895469378125857,0.0032492255832532713
